Truncated TitleID,Name,Platform,Time,,Times Played
0007a901,(Demo )LEGO Lord of the Rings,3DS,10380, 2:53,13
00097201,(Demo) 2 Fast 4 Gnomz,,900, 0:15,1
0009f201,(Demo) Adventure Time,3DS,2700, 0:45,5
00107c01,(Demo) Chibi-Robo,3DS,3660, 1:01,2
000a2d01,(Demo) Power of Illusion,3DS,21840, 6:04,12
000c8c01,(Demo) Sonic LOST World,3DS,17760, 4:56,10
000b3501,(Demo) Sonic Transformed,3DS,11880, 3:18,15
000c3301,"(DEMO) The ""Denpa"" Men 2",3DS,11700, 3:15,12
0bac0b00,2048 Libretro,3DS,1200, 0:20,4
00009e00,amiibo Settings,System,240, 0:04,4
001bd001,Blaster Master Zero (Demo),3DS,1260, 0:21,1
0eb00000,Boot NTR Selector,System,960, 0:16,16
000b3c01,Concentration Training (Demo),3DS,780, 0:13,2
000cee01,Crazy Construction (Demo),3DS,720, 0:12,1
00037101,Crush 3D (Demo),3DS,5280, 1:28,10
00151101,Cube Creator 3D Demo,3DS,840, 0:14,2
0016cd01,DBZ: Extreme Botuden Demo,3DS,4260, 1:11,3
0008ff01,Demo - Art of Balance Touch,3DS,6180, 1:43,10
000a9102,Demo 1: Style Savvy,3DS,4440, 1:14,3
000a9101,Demo 2: Style Savvy,3DS,1500, 0:25,2
42565045,Drawn to Life: Collection,DS,54900, 15:15,28
001a4801,Ever Oasis(Demo),3DS,1200, 0:20,2
0f800100,FBI,3DS,50160, 13:56,62
0e95cc00,Final Fantasy III,SNES,3060, 0:51,2
4351464a,Flash Card,DS,2760, 0:46,3
00009600,Friend List,System,62460, 17:21,485
00009300,Game Notes,System,7140, 1:59,58
59474c45,Geometry Wars: Galaxies,DS,8580, 2:23,14
0d921e00,Homebrew Launcher,3DS,1260, 0:21,10
00009400,Internet Browser,System,79920, 22:12,145
000f1501,Jump Trials Supreme (demo),3DS,4500, 1:15,6
00183602,Kirby: Planet Robobot Demo,3DS,2040, 0:34,1
0005a201,LEGO Batman 2 Demo,3DS,38340, 10:39,27
000d5a01,Mario & Luigi Dream Team (Demo),3DS,18420, 5:07,11
00054801,Mario & Sonic London 2012 Demo,3DS,18240, 5:04,30
001b4e01,Miitopia Demo,3DS,9120, 2:32,3
0000bd00,Miiverse,System,10740, 2:59,38
0bac1500,Monster Hunter Stories Demo,,3960, 1:06,23
000a5801,Moshlings Theme Park,3DS,12480, 3:28,10
00086601,Mutant Mudds Demo,3DS,13380, 3:43,30
000a9300,New Super Mario Bros. 2 (Video),System,5160, 1:26,19
00009700,Notifications,System,70200, 19:30,159
0bac0500,NXengine Libretro,PC,300, 0:05,1
0009d201,Order Up!! Demo,3DS,19860, 5:31,11
000a9700,Paper Mario: Sticker Star Trailer,System,1080, 0:18,7
4952424f,Pokemon Black Version,DS,92760, 25:46,24
4952454f,Pokemon Black Version 2,DS (NAND),300, 0:05,5
4952424f,Pokemon Blaze Black,DS (NAND),2880, 0:48,22
41444145,Pokemon Diamond,DS (NAND),60, 0:01,2
000ba801,Pokemon Dungeon (Demo),3DS,11400, 3:10,9
49504b45,Pokemon HeartGold,DS,3060, 0:51,5
43505545,Pokemon Platinum,DS,300960, 83:36,107
43505545,Pokemon Platinum,DS (NAND),900, 0:15,2
49504745,Pokemon SoulSilver,DS,127740, 35:29,42
4952444f,Pokemon White Version 2,DS,110340, 30:39,29
4952444f,Pokemon White Version 2,DS (NAND),180, 0:03,1
0e652200,Pokemon: Ruby Version,GBA,25620, 7:07,20
02892800,Pokemon: Ruby Version,GBA,1800, 0:30,5
001a4101,Poochy & Yoshi's Wooly World,3DS,1080, 0:18,1
00068201,Pyramids (Demo),3DS,4140, 1:09,5
001c8f01,Radiant Historia: Perfect Chronology (Demo),3DS,3000, 0:50,1
00057601,Rayman Origins (demo),3DS,19800, 5:30,18
0bac0000,Retroarch 3DS,,1200, 0:20,20
00067601,Rhythm Thief (Demo Version),3DS,22740, 6:19,30
09549800,Sonic the Hedgehog,Genesis,720, 0:12,3
41534d45,Super Mario 64,DS,55020, 15:17,45
000edf01,Super Smash Bros. (Demo),3DS,35520, 9:52,26
000a3101,"The ""Denpa"" Men Demo",3DS,15300, 4:15,18
00088901,The Amazing Spider-Man Demo,3DS,2400, 0:40,4
41344f45,The Sims 2 Pets,DS,240, 0:04,3
0008c301,Tomodachi Life demo version,3DS,5460, 1:31,6
53524c41,Twilight Menu++,System,8220, 2:17,23
04395500,TwiLight Menu++ Updater,System,2040, 0:34,6
00175b01,World Puzzles by POWGI,3DS,1140, 0:19,3
