Name,TitleID,Version,Size,Product Code,Region
Flying Axe,00040000001DD900,N/A,39.33 MB [315 blocks],Crasnencov,Europe/Australia
Cazzarion Adventureland,00040000001E1A00,N/A,55.69 MB [446 blocks],Zarpazo,Europe/Australia
Silver Falls - Undertakers,00040000001DC800,N/A,30.41 MB [243 blocks],Sungrand,Europe/Australia
B.O.O.L: Master labyrinth puzzles,000400000F714300,N/A,44.77 MB [358 blocks],Michael Wührer,Europe/Australia
Dark Island,00040000001DEF00,N/A,27.39 MB [219 blocks],Vadim Gafton,Europe/Australia
WordHerd,00040000001DD600,N/A,27.8 MB [222 blocks],Nellyvision,Europe/Australia
Maze Breaker 3,00040000001DF200,N/A,59.82 MB [479 blocks],nuGAME,Europe/Australia
Escape From Forest,00040000001DF100,N/A,30.74 MB [246 blocks],Vadim Gafton,Europe/Australia
Atlantis-6,00040000001DF800,N/A,29.7 MB [238 blocks],IGOR GAFTON,Europe/Australia
snake3d,00040000001DF700,N/A,26.75 MB [214 blocks],IGOR GAFTON,Europe/Australia
Mia's Picnic,00040000001DF000,N/A,30.02 MB [240 blocks],Nellyvision,Europe/Australia
War & Romance Visual Novel,000400000F713800,N/A,319.21 MB [2554 blocks],The Game Forest,Europe/Australia
Miles & Kilo,00040000001DAD00,N/A,39.14 MB [313 blocks],Four Horses,Europe/Australia
Tinboy,00040000001DBF00,N/A,40.82 MB [327 blocks],Interactive Stone,Europe/Australia
Bricks Pinball 2,00040000001DCF00,N/A,57.3 MB [458 blocks],nuGAME,Europe/Australia
Tank Onslaught,00040000001D8F00,N/A,35.21 MB [282 blocks],Vadim Gafton,Europe/Australia
Bricks Defender 2,00040000001DD000,N/A,56.86 MB [455 blocks],nuGAME,Europe/Australia
"Quarters, Please! Vol. 2",00040000001DBC00,N/A,33.96 MB [272 blocks],Nostatic Software,Europe/Australia
Maze Breaker 2,00040000001DCE00,N/A,60.03 MB [480 blocks],nuGAME,Europe/Australia
Pinball Breaker VI,00040000001DCD00,N/A,57.01 MB [456 blocks],nuGAME,Europe/Australia
Bricks Defender,00040000001DCB00,N/A,57.1 MB [457 blocks],nuGAME,Europe/Australia
Bricks Pinball,00040000001DCA00,N/A,57.35 MB [459 blocks],nuGAME,Europe/Australia
Silver Falls - 3 Down Stars,000400000F712800,N/A,321.03 MB [2568 blocks],Sungrand,Europe/Australia
"Turkey, Please!",00040000001DA500,N/A,32.3 MB [258 blocks],Nostatic Software,Europe/Australia
Fatal Fracture,00040000001DA600,N/A,30.34 MB [243 blocks],IGOR GAFTON,Europe/Australia
Pinball Breaker V,00040000001DC100,N/A,57.19 MB [457 blocks],nuGAME,Europe/Australia
Cazzarion,000400000F713500,N/A,49.3 MB [394 blocks],Zarpazo,Europe/Australia
Mountain Peak Battle Mess,00040000001DAC00,N/A,27.47 MB [220 blocks],Vadim Gafton,Europe/Australia
Maze Breaker,00040000001DB600,N/A,60.18 MB [481 blocks],nuGAME,Europe/Australia
"Quarters, Please!",00040000001D7A00,N/A,35.1 MB [281 blocks],Nostatic Software,Europe/Australia
Shakedown: Hawaii,00040000001D9A00,N/A,47.19 MB [378 blocks],Vblank Entertainment,Europe/Australia
Pinball Breaker 4,00040000001DAA00,N/A,57.06 MB [456 blocks],nuGAME,Europe/Australia
Squarcat,00040000001D9C00,N/A,28.6 MB [229 blocks],IGOR GAFTON,Europe/Australia
Space Intervention,00040000001DA900,N/A,26.49 MB [212 blocks],IGOR GAFTON,Europe/Australia
Without Escape,000400000F713300,N/A,64.77 MB [518 blocks],Bumpy Trail Games,Europe/Australia
Cube Creator DX,00040000001D2E00,N/A,64.13 MB [513 blocks],Big John Games,Europe/Australia
Pinball Breaker 3,00040000001D9E00,N/A,57.1 MB [457 blocks],nuGAME,Europe/Australia
Pinball Breaker 2,00040000001D9700,N/A,56.94 MB [455 blocks],nuGAME,Europe/Australia
Persona Q2: New Cinema Labyrinth,00040000001D7600,N/A,2.65 GB [21718 blocks],Deep Silver,Europe/Australia
Timberman,00040000001C0B00,N/A,10.2 MB [82 blocks],Insane Code,Europe/Australia
SPACE DEFENDER BATTLE INFINITY,00040000001D3E00,N/A,50.23 MB [402 blocks],Denvzla Estudio,Europe/Australia
ZARA the Fastest Fairy,000400000F712E00,N/A,42.22 MB [338 blocks],Famous Gamous,Europe/Australia
Horror Stories,00040000001D8500,N/A,32.79 MB [262 blocks],Vadim Gafton,Europe/Australia
Love Hero,000400000F712A00,N/A,81.95 MB [656 blocks],Batafurai,Europe/Australia
YO-KAI WATCH™ 3: Update,0004000E001D6800,2080,82.89 MB [663 blocks],Nintendo,Europe/Australia
Kirby's Extra Epic Yarn,00040000001D1F00,N/A,1.42 GB [11661 blocks],Nintendo,Europe/Australia
Pinball Breaker,00040000001D8700,N/A,56.91 MB [455 blocks],nuGAME,Europe/Australia
Mario & Luigi: Bowser's Inside Story: Update,0004000E001D1500,2080,28.26 MB [226 blocks],Nintendo,Europe/Australia
Etrian Odyssey Nexus,00040000001D5200,N/A,822.3 MB [6578 blocks],Deep Silver,Europe/Australia
Mario & Luigi: Bowser’s Inside Story + Bowser Jr.’s Journey,00040000001D1500,N/A,719.81 MB [5758 blocks],Nintendo,Europe/Australia
Azure Snake,00040000001D8300,N/A,27.41 MB [219 blocks],Vadim Gafton,Europe/Australia
RTO 3,00040000001D7F00,N/A,88.15 MB [705 blocks],nuGAME,Europe/Australia
PixelMaker Studio,00040000001CA500,N/A,27.6 MB [221 blocks],Nostatic Software,Europe/Australia
YO-KAI WATCH™ 3,00040000001D6800,N/A,3.31 GB [27080 blocks],Nintendo,Europe/Australia
Story of Seasons: Trio of Towns: Update,0004000E001B5500,1040,4.43 MB [35 blocks],Nintendo,Europe/Australia
Japanese Rail Sim 3D 5 types of trains,00040000001D3700,N/A,1.45 GB [11908 blocks],Sonic Powered,Europe/Australia
RTO 2,00040000001D7200,N/A,97.37 MB [779 blocks],nuGAME,Europe/Australia
Luigi's Mansion™,00040000001D1A00,N/A,227.92 MB [1823 blocks],Nintendo,Europe/Australia
Jake Hunter Detective Story: Ghost of the Dusk,00040000001CBD00,N/A,382.37 MB [3059 blocks],Aksys Games,Europe/Australia
Red Cat Corps: Update,0004000E001CEC00,2096,531.83 MB [4255 blocks],Nintendo,Europe/Australia
White Dog Squad: Update,0004000E001CF000,2096,532.79 MB [4262 blocks],Nintendo,Europe/Australia
Minecraft: New Nintendo 3DS Edition,000400000017CA00,N/A,467.69 MB [3742 blocks],Mojang,Europe/Australia
Minecraft: New Nintendo 3DS Edition Update Ver. 1.9,0004000E0017CA00,9392,542.69 MB [4341 blocks],Mojang,Europe/Australia
RTO 3,000400000F711F00,N/A,98.8 MB [790 blocks],nuGAME,Europe/Australia
YO-KAI WATCH BLASTERS®: Red Cat Corps,00040000001CEC00,N/A,2.28 GB [18681 blocks],Nintendo,Europe/Australia
YO-KAI WATCH BLASTERS®: White Dog Squad,00040000001CF000,N/A,2.28 GB [18684 blocks],Nintendo,Europe/Australia
WarioWare™ Gold: Update,0004000E001D1C00,1056,13.09 MB [105 blocks],Nintendo,Europe/Australia
MH Gen U Save Data Transfer App,00040000001D2400,N/A,28.49 MB [228 blocks],CAPCOM Europe,Europe/Australia
Big Bass Arcade: No Limit,00040000001D0600,N/A,34.4 MB [275 blocks],Big John Games,Europe/Australia
WarioWare™ Gold,00040000001D1C00,N/A,1.19 GB [9746 blocks],Nintendo,Europe/Australia
Smash Bowling 3D,00040000001D0500,N/A,25.81 MB [206 blocks],Big John Games,Europe/Australia
Captain Toad™: Treasure Tracker,00040000001CB200,N/A,427.16 MB [3417 blocks],Nintendo,Europe/Australia
Thorium Wars: Attack of the Skyfighter,00040000001D0700,N/A,43.44 MB [348 blocks],Big John Games,Europe/Australia
WarioWare™ Gold Demo,00040000001D4500,N/A,101.35 MB [811 blocks],Nintendo,Europe/Australia
Link-a-Pix Colour: Update,0004000E001D0E00,1040,8.45 MB [68 blocks],Lightwood Games,Europe/Australia
Sanrio characters Picross,00040000001D3100,N/A,27.07 MB [217 blocks],JUPITER,Europe/Australia
I.F.O,000400000F710E00,N/A,36.36 MB [291 blocks],Turtle Cream,Europe/Australia
SmileBASIC 3.6 Update,0004000E001A1C00,1040,9.46 MB [76 blocks],SmileBoom,Europe/Australia
UP UP BOT,000400000F710D00,N/A,26.91 MB [215 blocks],RCMADIAX,Europe/Australia
Sushi Striker™: The Way of Sushido,00040000001C1D00,N/A,881.39 MB [7051 blocks],Nintendo,Europe/Australia
Dragon Lapis,00040000001D2F00,N/A,59.74 MB [478 blocks],KEMCO,Europe/Australia
Bloodstained: Curse of the Moon,00040000001D3C00,N/A,17.97 MB [144 blocks],Inti Creates,Europe/Australia
Dillon's Dead-Heat Breakers™,00040000001CF400,N/A,608.32 MB [4867 blocks],Nintendo,Europe/Australia
Shin Megami Tensei: Strange Journey Redux,00040000001CE100,N/A,1.67 GB [13666 blocks],Deep Silver,Europe/Australia
